Figure_4.5_Ground,0,0,vBOOM,Ground signatures JWB
Figure_4.5_Ground,0,0,muBOOM,
Figure_4.5_Ground,10,0.4,vBOOM,
Figure_4.5_Ground,10,0.4,muBOOM,
Figure_4.5_Ground,20,0.2,vBOOM,Peak region
Figure_4.5_Ground,20,0.2,muBOOM,
Figure_4.5_Ground,30,0,vBOOM,
Figure_4.5_Ground,30,-0.1,muBOOM,
Figure_4.5_Ground,40,-0.2,vBOOM,
Figure_4.5_Ground,40,-0.25,muBOOM,
Figure_4.5_Ground,60,0,vBOOM,
Figure_4.5_Ground,60,-0.05,muBOOM,
Figure_4.5_Ground,80,0.1,vBOOM,
Figure_4.5_Ground,80,0.05,muBOOM,
Figure_4.5_Ground,100,0,vBOOM,
Figure_4.5_Ground,100,0,muBOOM,
Figure_4.5_Ground,150,0,vBOOM,
Figure_4.5_Ground,150,0,muBOOM,
